路線名,駅名,番号,会社名
東海道本線,東京,1,JR東日本
東海道本線,有楽町,2,JR東日本
東海道本線,新橋,3,JR東日本
東海道本線,浜松町,4,JR東日本
東海道本線,田町,5,JR東日本
東海道本線,高輪ゲートウェイ,6,JR東日本
東海道本線,品川,7,JR東日本
東海道本線,大井町,8,JR東日本
東海道本線,大森,9,JR東日本
東海道本線,蒲田,10,JR東日本
東海道本線,川崎,11,JR東日本
東海道本線,鶴見,12,JR東日本
東海道本線,新子安,13,JR東日本
東海道本線,東神奈川,14,JR東日本
東海道本線,横浜,15,JR東日本
東海道本線,保土ヶ谷,16,JR東日本
東海道本線,東戸塚,17,JR東日本
東海道本線,戸塚,18,JR東日本
東海道本線,大船,19,JR東日本
東海道本線,藤沢,20,JR東日本
東海道本線,辻堂,21,JR東日本
東海道本線,茅ヶ崎,22,JR東日本
東海道本線,平塚,23,JR東日本
東海道本線,大磯,24,JR東日本
東海道本線,二宮,25,JR東日本
東海道本線,国府津,26,JR東日本
東海道本線,鴨宮,27,JR東日本
東海道本線,小田原,28,JR東日本
東海道本線,早川,29,JR東日本
東海道本線,根府川,30,JR東日本
東海道本線,真鶴,31,JR東日本
東海道本線,湯河原,32,JR東日本
東海道本線,熱海,33,JR東日本
東海道本線,熱海,1,JR東海
東海道本線,函南,2,JR東海
東海道本線,三島,3,JR東海
東海道本線,沼津,4,JR東海
東海道本線,片浜,5,JR東海
東海道本線,原,6,JR東海
東海道本線,東田子の浦,7,JR東海
東海道本線,吉原,8,JR東海
東海道本線,富士,9,JR東海
東海道本線,富士川,10,JR東海
東海道本線,新蒲原,11,JR東海
東海道本線,蒲原,12,JR東海
東海道本線,由比,13,JR東海
東海道本線,興津,14,JR東海
東海道本線,清水,15,JR東海
東海道本線,草薙,16,JR東海
東海道本線,東静岡,17,JR東海
東海道本線,静岡,18,JR東海
東海道本線,安倍川,19,JR東海
東海道本線,用宗,20,JR東海
東海道本線,焼津,21,JR東海
東海道本線,西焼津,22,JR東海
東海道本線,藤枝,23,JR東海
東海道本線,六合,24,JR東海
東海道本線,島田,25,JR東海
東海道本線,金谷,26,JR東海
東海道本線,菊川,27,JR東海
東海道本線,掛川,28,JR東海
東海道本線,愛野,29,JR東海
東海道本線,袋井,30,JR東海
東海道本線,御厨,31,JR東海
東海道本線,磐田,32,JR東海
東海道本線,豊田町,33,JR東海
東海道本線,天竜川,34,JR東海
東海道本線,浜松,35,JR東海
東海道本線,高塚,36,JR東海
東海道本線,舞阪,37,JR東海
東海道本線,弁天島,38,JR東海
東海道本線,新居町,39,JR東海
東海道本線,鷲津,40,JR東海
東海道本線,新所原,41,JR東海
東海道本線,二川,42,JR東海
東海道本線,豊橋,43,JR東海
東海道本線,西小坂井,44,JR東海
東海道本線,愛知御津,45,JR東海
東海道本線,三河大塚,46,JR東海
東海道本線,三河三谷,47,JR東海
東海道本線,蒲郡,48,JR東海
東海道本線,三河塩津,49,JR東海
東海道本線,三ヶ根,50,JR東海
東海道本線,幸田,51,JR東海
東海道本線,相見,52,JR東海
東海道本線,岡崎,53,JR東海
東海道本線,西岡崎,54,JR東海
東海道本線,安城,55,JR東海
東海道本線,三河安城,56,JR東海
東海道本線,東刈谷,57,JR東海
東海道本線,野田新町,58,JR東海
東海道本線,刈谷,59,JR東海
東海道本線,逢妻,60,JR東海
東海道本線,大府,61,JR東海
東海道本線,共和,62,JR東海
東海道本線,南大高,63,JR東海
東海道本線,大高,64,JR東海
東海道本線,笠寺,65,JR東海
東海道本線,熱田,66,JR東海
東海道本線,金山,67,JR東海
東海道本線,尾頭橋,68,JR東海
東海道本線,名古屋,69,JR東海
東海道本線,枇杷島,70,JR東海
東海道本線,清洲,71,JR東海
東海道本線,稲沢,72,JR東海
東海道本線,尾張一宮,73,JR東海
東海道本線,木曽川,74,JR東海
東海道本線,岐阜,75,JR東海
東海道本線,西岐阜,76,JR東海
東海道本線,穂積,77,JR東海
東海道本線,大垣,78,JR東海
東海道本線,垂井,79,JR東海
東海道本線,関ヶ原,80,JR東海
東海道本線,柏原,81,JR東海
東海道本線,近江長岡,82,JR東海
東海道本線,醒ヶ井,83,JR東海
東海道本線,米原,84,JR東海
東海道本線,米原,1,JR西日本
東海道本線,彦根,2,JR西日本
東海道本線,南彦根,3,JR西日本
東海道本線,河瀬,4,JR西日本
東海道本線,稲枝,5,JR西日本
東海道本線,能登川,6,JR西日本
東海道本線,安土,7,JR西日本
東海道本線,近江八幡,8,JR西日本
東海道本線,篠原,9,JR西日本
東海道本線,野洲,10,JR西日本
東海道本線,守山,11,JR西日本
東海道本線,栗東,12,JR西日本
東海道本線,草津,13,JR西日本
東海道本線,南草津,14,JR西日本
東海道本線,瀬田,15,JR西日本
東海道本線,石山,16,JR西日本
東海道本線,膳所,17,JR西日本
東海道本線,大津,18,JR西日本
東海道本線,山科,19,JR西日本
東海道本線,京都,20,JR西日本
東海道本線,西大路,21,JR西日本
東海道本線,桂川,22,JR西日本
東海道本線,向日町,23,JR西日本
東海道本線,長岡京,24,JR西日本
東海道本線,山崎,25,JR西日本
東海道本線,島本,26,JR西日本
東海道本線,高槻,27,JR西日本
東海道本線,摂津富田,28,JR西日本
東海道本線,JR総持寺,29,JR西日本
東海道本線,茨木,30,JR西日本
東海道本線,千里丘,31,JR西日本
東海道本線,岸辺,32,JR西日本
東海道本線,吹田,33,JR西日本
東海道本線,東淀川,34,JR西日本
東海道本線,新大阪,35,JR西日本
東海道本線,大阪,36,JR西日本
東海道本線,塚本,37,JR西日本
東海道本線,尼崎,38,JR西日本
東海道本線,立花,39,JR西日本
東海道本線,甲子園口,40,JR西日本
東海道本線,西宮,41,JR西日本
東海道本線,さくら夙川,42,JR西日本
東海道本線,芦屋,43,JR西日本
東海道本線,甲南山手,44,JR西日本
東海道本線,摂津本山,45,JR西日本
東海道本線,住吉,46,JR西日本
東海道本線,六甲道,47,JR西日本
東海道本線,摩耶,48,JR西日本
東海道本線,灘,49,JR西日本
東海道本線,三ノ宮,50,JR西日本
東海道本線,元町,51,JR西日本
東海道本線,神戸,52,JR西日本
東海道本線美濃赤坂支線,大垣,1,JR東海
東海道本線美濃赤坂支線,荒尾,2,JR東海
東海道本線美濃赤坂支線,美濃赤坂,3,JR東海
中央本線（金山～塩尻）,金山,1,JR東海
中央本線（金山～塩尻）,鶴舞,2,JR東海
中央本線（金山～塩尻）,千種,3,JR東海
中央本線（金山～塩尻）,大曽根,4,JR東海
中央本線（金山～塩尻）,新守山,5,JR東海
中央本線（金山～塩尻）,勝川,6,JR東海
中央本線（金山～塩尻）,春日井,7,JR東海
中央本線（金山～塩尻）,神領,8,JR東海
中央本線（金山～塩尻）,高蔵寺,9,JR東海
中央本線（金山～塩尻）,定光寺,10,JR東海
中央本線（金山～塩尻）,古虎渓,11,JR東海
中央本線（金山～塩尻）,多治見,12,JR東海
中央本線（金山～塩尻）,土岐市,13,JR東海
中央本線（金山～塩尻）,瑞浪,14,JR東海
中央本線（金山～塩尻）,釜戸,15,JR東海
中央本線（金山～塩尻）,武並,16,JR東海
中央本線（金山～塩尻）,恵那,17,JR東海
中央本線（金山～塩尻）,美乃坂本,18,JR東海
中央本線（金山～塩尻）,中津川,19,JR東海
中央本線（金山～塩尻）,落合川,20,JR東海
中央本線（金山～塩尻）,坂下,21,JR東海
中央本線（金山～塩尻）,田立,22,JR東海
中央本線（金山～塩尻）,南木曽,23,JR東海
中央本線（金山～塩尻）,十二兼,24,JR東海
中央本線（金山～塩尻）,野尻,25,JR東海
中央本線（金山～塩尻）,大桑,26,JR東海
中央本線（金山～塩尻）,須原,27,JR東海
中央本線（金山～塩尻）,倉本,28,JR東海
中央本線（金山～塩尻）,上松,29,JR東海
中央本線（金山～塩尻）,木曽福島,30,JR東海
中央本線（金山～塩尻）,原野,31,JR東海
中央本線（金山～塩尻）,宮ノ越,32,JR東海
中央本線（金山～塩尻）,藪原,33,JR東海
中央本線（金山～塩尻）,奈良井,34,JR東海
中央本線（金山～塩尻）,木曽平沢,35,JR東海
中央本線（金山～塩尻）,贄川,36,JR東海
中央本線（金山～塩尻）,日出塩,37,JR東海
中央本線（金山～塩尻）,洗馬,38,JR東海
中央本線（金山～塩尻）,塩尻,39,JR東海
武豊線,大府,1,JR東海
武豊線,尾張森岡,2,JR東海
武豊線,緒川,3,JR東海
武豊線,石浜,4,JR東海
武豊線,東浦,5,JR東海
武豊線,亀崎,6,JR東海
武豊線,乙川,7,JR東海
武豊線,半田,8,JR東海
武豊線,東成岩,9,JR東海
武豊線,武豊,10,JR東海
太多線,多治見,1,JR東海
太多線,小泉,2,JR東海
太多線,根本,3,JR東海
太多線,姫,4,JR東海
太多線,下切,5,JR東海
太多線,可児,6,JR東海
太多線,美濃川合,7,JR東海
太多線,美濃太田,8,JR東海
高山本線,岐阜,1,JR東海
高山本線,長森,2,JR東海
高山本線,那加,3,JR東海
高山本線,蘇原,4,JR東海
高山本線,各務ヶ原,5,JR東海
高山本線,鵜沼,6,JR東海
高山本線,坂祝,7,JR東海
高山本線,美濃太田,8,JR東海
高山本線,古井,9,JR東海
高山本線,中川辺,10,JR東海
高山本線,下麻生,11,JR東海
高山本線,上麻生,12,JR東海
高山本線,白川口,13,JR東海
高山本線,下油井,14,JR東海
高山本線,飛彈金山,15,JR東海
高山本線,焼石,16,JR東海
高山本線,下呂,17,JR東海
高山本線,禅昌寺,18,JR東海
高山本線,飛彈萩原,19,JR東海
高山本線,上呂,20,JR東海
高山本線,飛彈宮田,21,JR東海
高山本線,飛彈小坂,22,JR東海
高山本線,渚,23,JR東海
高山本線,久々野,24,JR東海
高山本線,飛彈一ノ宮,25,JR東海
高山本線,高山,26,JR東海
高山本線,上枝,27,JR東海
高山本線,飛彈国府,28,JR東海
高山本線,飛彈古川,29,JR東海
高山本線,杉崎,30,JR東海
高山本線,飛彈細江,31,JR東海
高山本線,角川,32,JR東海
高山本線,坂上,33,JR東海
高山本線,打保,34,JR東海
高山本線,杉原,35,JR東海
高山本線,猪谷,36,JR東海
高山本線,猪谷,1,JR西日本
高山本線,楡原,2,JR西日本
高山本線,笹津,3,JR西日本
高山本線,東八尾,4,JR西日本
高山本線,越中八尾,5,JR西日本
高山本線,千里,6,JR西日本
高山本線,速星,7,JR西日本
高山本線,婦中鵜坂,8,JR西日本
高山本線,西富山,9,JR西日本
高山本線,富山,10,JR西日本
関西本線,名古屋,1,JR東海
関西本線,八田,2,JR東海
関西本線,春田,3,JR東海
関西本線,蟹江,4,JR東海
関西本線,永和,5,JR東海
関西本線,弥富,6,JR東海
関西本線,長島,7,JR東海
関西本線,桑名,8,JR東海
関西本線,朝日,9,JR東海
関西本線,富田,10,JR東海
関西本線,富田浜,11,JR東海
関西本線,四日市,12,JR東海
関西本線,南四日市,13,JR東海
関西本線,河原田,14,JR東海
関西本線,河曲,15,JR東海
関西本線,加佐登,16,JR東海
関西本線,井田川,17,JR東海
関西本線,亀山,18,JR東海
関西本線,亀山,1,JR西日本
関西本線,関,2,JR西日本
関西本線,加太,3,JR西日本
関西本線,柘植,4,JR西日本
関西本線,新堂,5,JR西日本
関西本線,佐那具,6,JR西日本
関西本線,伊賀上野,7,JR西日本
関西本線,島ヶ原,8,JR西日本
関西本線,月ヶ瀬口,9,JR西日本
関西本線,大河原,10,JR西日本
関西本線,笠置,11,JR西日本
関西本線,加茂,12,JR西日本
関西本線,木津,13,JR西日本
関西本線,平城山,14,JR西日本
関西本線,奈良,15,JR西日本
関西本線,郡山,16,JR西日本
関西本線,大和小泉,17,JR西日本
関西本線,法隆寺,18,JR西日本
関西本線,王寺,19,JR西日本
関西本線,三郷,20,JR西日本
関西本線,河内堅上,21,JR西日本
関西本線,高井田,22,JR西日本
関西本線,柏原,23,JR西日本
関西本線,志紀,24,JR西日本
関西本線,八尾,25,JR西日本
関西本線,久宝寺,26,JR西日本
関西本線,加美,27,JR西日本
関西本線,平野,28,JR西日本
関西本線,東部市場前,29,JR西日本
関西本線,天王寺,30,JR西日本
関西本線,新今宮,31,JR西日本
関西本線,今宮,32,JR西日本
関西本線,JR難波,33,JR西日本
紀勢本線,亀山,1,JR東海
紀勢本線,下庄,2,JR東海
紀勢本線,一身田,3,JR東海
紀勢本線,津,4,JR東海
紀勢本線,阿漕,5,JR東海
紀勢本線,高茶屋,6,JR東海
紀勢本線,六軒,7,JR東海
紀勢本線,松阪,8,JR東海
紀勢本線,徳和,9,JR東海
紀勢本線,多気,10,JR東海
紀勢本線,相可,11,JR東海
紀勢本線,佐奈,12,JR東海
紀勢本線,栃原,13,JR東海
紀勢本線,川添,14,JR東海
紀勢本線,三瀬谷,15,JR東海
紀勢本線,滝原,16,JR東海
紀勢本線,阿曽,17,JR東海
紀勢本線,伊勢柏崎,18,JR東海
紀勢本線,大内山,19,JR東海
紀勢本線,梅ヶ谷,20,JR東海
紀勢本線,紀伊長島,21,JR東海
紀勢本線,三野瀬,22,JR東海
紀勢本線,船津,23,JR東海
紀勢本線,相賀,24,JR東海
紀勢本線,尾鷲,25,JR東海
紀勢本線,大曽根浦,26,JR東海
紀勢本線,九鬼,27,JR東海
紀勢本線,三木里,28,JR東海
紀勢本線,賀田,29,JR東海
紀勢本線,二木島,30,JR東海
紀勢本線,新鹿,31,JR東海
紀勢本線,波田須,32,JR東海
紀勢本線,大泊,33,JR東海
紀勢本線,熊野市,34,JR東海
紀勢本線,有井,35,JR東海
紀勢本線,神志山,36,JR東海
紀勢本線,紀伊市木,37,JR東海
紀勢本線,阿田和,38,JR東海
紀勢本線,紀伊井田,39,JR東海
紀勢本線,鵜殿,40,JR東海
紀勢本線,新宮,41,JR東海
紀勢本線,新宮,1,JR西日本
紀勢本線,三輪崎,2,JR西日本
紀勢本線,紀伊佐野,3,JR西日本
紀勢本線,宇久井,4,JR西日本
紀勢本線,那智,5,JR西日本
紀勢本線,紀伊天満,6,JR西日本
紀勢本線,紀伊勝浦,7,JR西日本
紀勢本線,湯川,8,JR西日本
紀勢本線,太地,9,JR西日本
紀勢本線,下里,10,JR西日本
紀勢本線,紀伊浦神,11,JR西日本
紀勢本線,紀伊田原,12,JR西日本
紀勢本線,古座,13,JR西日本
紀勢本線,紀伊姫,14,JR西日本
紀勢本線,串本,15,JR西日本
紀勢本線,紀伊有田,16,JR西日本
紀勢本線,田並,17,JR西日本
紀勢本線,田子,18,JR西日本
紀勢本線,和深,19,JR西日本
紀勢本線,江住,20,JR西日本
紀勢本線,見老津,21,JR西日本
